  1.147,  1.093
  1.997,  8.833
  2.781, 10.032
  4.225,  9.733
  5.455, 15.820
  6.151, 20.939
  6.573, 26.547
  8.058, 33.335
  9.132, 37.546
 10.474, 47.130
 11.207, 50.559
 12.413, 62.268
 12.525, 68.175
 13.826, 76.877
 15.327, 84.574
 15.664, 93.389
 17.446,103.726
 18.347,111.623
 18.655,119.797
 19.581,130.094
 21.190,143.306
 21.979,154.047
 23.250,169.502
 24.406,178.782
 24.650,190.953
 25.846,199.131
 27.373,214.514
 28.126,232.827
 28.580,245.687
 30.360,256.452
 31.337,270.849
 31.583,288.109
 33.288,303.786
